,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
184,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
185,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
186,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
187,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
188,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
189,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
190,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
191,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
192,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
193,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
194,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
195,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
196,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
197,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
198,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
199,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
200,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
201,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
202,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
203,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
204,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
205,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
206,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
207,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
208,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
209,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
